ID,Class,Class_num,Neuper,Eosper,Basoper,Monoper,Lymphper,NL_Ratio,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,Platelets,FEC0,ADG12,ADG26,ADG82,Growth_Rate,Sex,Temp_D0
ID_104.2017_S10,Healthy,0,36.67,2.33,0.33,10.33,50.33,0.728476821,4.7,8.09,10.4,29.9,36.9,12.8,34.7,27,1165,172,4.75,4.038461538,3.414634146,3.32505071,1,103.4
ID_105.2017_S11,BRD,1,30.67,7,0.67,10.67,51,0.60130719,6.3,10.4,13.1,35.3,34,12.6,37.1,27.8,2484,735,2.666666667,3.576923077,3.231707317,3.253549696,1,104.1
ID_109.2017_S12,BRD,1,25,9.33,0,20,45.67,0.547445255,11.4,9.77,11.7,31.1,31.9,12,37.7,28.7,1805,3060,2.083333333,2.230769231,2.085365854,2.081643002,1,103.1
ID_115.2017_S13,Healthy,0,38.67,4.33,0.33,11.67,45,0.859259259,7.3,9.17,13.6,39,42.6,14.8,34.7,27.1,778,1425,5.666666667,4.615384615,3.524390244,3.378296146,0,102.4
ID_119.2017_S14,Healthy,0,34.67,0.33,0,12.67,52.33,0.662420382,8.1,9.35,13.4,37,39.6,14.3,36.2,35.6,1611,945,2.583333333,2.576923077,3.085365854,3.126267749,1,103.7
ID_123.2017_S15,BRD,1,33.67,0.33,0.33,7.33,58.33,0.577142857,11.9,9.77,13.2,35.5,36.4,13.5,37.1,30.3,1600,300,1.666666667,1.961538462,2.207317073,2.243407708,1,104.4
ID_125.2017_S16,BRD,1,39.67,3.67,0.33,5,51.33,0.772727273,5.4,9.22,11.3,31.6,34.3,12.3,35.7,29.9,1862,925,-0.5,-0.538461538,1.365853659,1.518255579,1,102.3
ID_130.2017_S17,Healthy,0,30,3.33,0.33,3.67,62.67,0.478723404,8.6,9.05,12.7,35.3,39,14,35.9,27,961,750,0.333333333,2.384615385,2.853658537,3.004056796,1,102.8
ID_133.2017_S18,BRD,1,42,1.33,0,6.67,50,0.84,4.8,9.96,14.8,41.5,41.7,14.8,35.6,29.3,1159,1360,-0.583333333,0.653846154,1.768292683,1.926470588,1,103.5
ID_139.2017_S19,BRD,1,38.33,9,0.33,8.67,43.67,0.877862595,10.4,9.91,13.3,38,38.3,13.4,35.1,26.6,972,630,2.75,3.461538462,3.207317073,3.225659229,0,102.9
ID_155.2017_S20,Healthy,0,34.67,5.33,0,16.33,43.67,0.79389313,6.1,9.46,12,31.7,33.6,12.7,38,28.2,1961,285,0.75,3.076923077,3.475609756,3.635395537,1,102.2
ID_156.2017_S21,BRD,1,32.33,1,0,16.33,50.33,0.642384106,4.5,9.36,12.7,35.6,38,13.6,35.8,26.3,1118,370,-0.666666667,2.269230769,2.670731707,2.864097363,1,102.4
ID_158.2017_S22,BRD,1,35,3.67,0.33,4.67,56.33,0.621301775,5.4,9.57,13.3,37.8,39.5,13.9,35.2,30.4,1049,360,0.583333333,1.923076923,2.048780488,2.132352941,1,103.8
ID_160.2017_S23,Healthy,0,23.67,0.67,0,11.33,64.33,0.367875648,8,9.62,12.9,35.2,36.6,13.4,36.6,29,1425,1055,3.916666667,2.961538462,2.219512195,2.106997971,1,103.2
ID_167.2017_S25,BRD,1,40,0.67,0.33,8.33,50.67,0.789473684,5,9.55,12.9,33.3,34.9,13.5,38.8,35.7,1988,280,1.5,1.923076923,2.487804878,2.556795132,1,103.6
ID_168.2017_S26,BRD,1,42.67,4,0,7,46.33,0.920863309,7.8,8.76,11.8,33.6,38.4,13.5,35,28.5,1139,660,2,3.538461538,2.804878049,2.829614605,0,102.6
ID_169.2017_S27,Healthy,0,63.33,4.33,0,10.33,22,2.878787879,6.5,7.77,12,34.6,44.6,15.5,34.7,23,862,460,0.833333333,2.153846154,2.243902439,2.323529412,1,103.6
ID_177.2017_S28,Healthy,0,44.33,3,0,4.33,48.33,0.917241379,8.6,9,12.7,35.8,39.8,14.1,35.4,27,838,160,-0.333333333,1.923076923,3,3.210953347,1,103.2
ID_181.2017_S29,Healthy,0,38.33,2,0,6.33,53.33,0.71875,9.2,10.33,13.6,38.3,36.8,13.1,35.5,28.6,1497,165,1.666666667,2.538461538,2.829268293,2.90060852,1,104.5
ID_185.2017_S30,BRD,1,29.33,7,0,3.67,60,0.488888889,5.5,8.49,14,40,47.1,16.4,34.9,27.5,650,410,-1.166666667,1.230769231,2,2.193711968,1,102.9
ID_187.2017_S31,BRD,1,42.33,0.33,0,8,49.33,0.858108108,10.6,10.5,14.8,40.2,38.2,14,36.7,30.1,1131,45,-2.333333333,0.769230769,1.390243902,1.610547667,1,104.4
ID_195.2017_S32,Healthy,0,29.67,0.33,0,3.67,66.33,0.447236181,7.4,8.59,11.7,33.7,39.2,13.7,34.8,25.9,591,460,2.583333333,2.615384615,3.146341463,3.19117647,1,104.2
ID_199.2017_S33,Healthy,0,35.33,3,0.67,1.33,59.67,0.592178771,6.1,8.92,12.4,34.5,38.6,14,36.1,24.8,950,925,1.083333333,0.923076923,2.609756098,2.737829615,1,103
